 410: 1.309937, 1.509435 avg loss, 0.000057 rate, 4.298399 seconds, 52480 images
 411: 1.706282, 1.529120 avg loss, 0.000057 rate, 4.498596 seconds, 52608 images
 416: 1.397354, 1.515943 avg loss, 0.000060 rate, 4.574461 seconds, 53248 images
 417: 1.369435, 1.501292 avg loss, 0.000060 rate, 4.432664 seconds, 53376 images
 418: 1.398053, 1.490968 avg loss, 0.000061 rate, 4.384045 seconds, 53504 images
 419: 1.442412, 1.486113 avg loss, 0.000062 rate, 6.374185 seconds, 53632 images
 424: 1.234356, 1.460937 avg loss, 0.000065 rate, 6.680441 seconds, 54272 images
 425: 1.277799, 1.442623 avg loss, 0.000065 rate, 6.422732 seconds, 54400 images
 426: 1.434326, 1.441793 avg loss, 0.000066 rate, 6.532405 seconds, 54528 images
 427: 1.274509, 1.425065 avg loss, 0.000066 rate, 6.419338 seconds, 54656 images
 432: 1.169494, 1.399508 avg loss, 0.000070 rate, 6.778306 seconds, 55296 images
 433: 1.448430, 1.404400 avg loss, 0.000070 rate, 6.501910 seconds, 55424 images
 434: 1.428472, 1.406807 avg loss, 0.000071 rate, 6.417741 seconds, 55552 images
 435: 1.419864, 1.408113 avg loss, 0.000072 rate, 6.532604 seconds, 55680 images
 440: 1.498759, 1.417178 avg loss, 0.000075 rate, 6.722499 seconds, 56320 images
 441: 1.568305, 1.432290 avg loss, 0.000076 rate, 8.349534 seconds, 56448 images
 442: 1.439242, 1.432986 avg loss, 0.000076 rate, 8.576527 seconds, 56576 images
 443: 1.281315, 1.417819 avg loss, 0.000077 rate, 8.740774 seconds, 56704 images
 448: 1.401899, 1.416227 avg loss, 0.000081 rate, 9.071970 seconds, 57344 images
 449: 1.359486, 1.410553 avg loss, 0.000081 rate, 8.582823 seconds, 57472 images
 450: 1.347175, 1.404215 avg loss, 0.000082 rate, 8.868771 seconds, 57600 images
 451: 1.435272, 1.407321 avg loss, 0.000083 rate, 8.857626 seconds, 57728 images
 456: 1.305401, 1.397129 avg loss, 0.000086 rate, 8.870513 seconds, 58368 images
 457: 1.255039, 1.382920 avg loss, 0.000087 rate, 8.625068 seconds, 58496 images
 458: 1.103115, 1.354939 avg loss, 0.000088 rate, 8.810814 seconds, 58624 images
 459: 1.296254, 1.349071 avg loss, 0.000089 rate, 6.245037 seconds, 58752 images
 464: 1.172272, 1.331391 avg loss, 0.000093 rate, 6.635482 seconds, 59392 images
 465: 1.216983, 1.319950 avg loss, 0.000094 rate, 6.452748 seconds, 59520 images
 466: 1.207793, 1.308734 avg loss, 0.000094 rate, 6.488816 seconds, 59648 images
 467: 1.098614, 1.287722 avg loss, 0.000095 rate, 6.538126 seconds, 59776 images
 472: 1.111514, 1.270102 avg loss, 0.000099 rate, 6.745272 seconds, 60416 images
 473: 1.276620, 1.270753 avg loss, 0.000100 rate, 6.531827 seconds, 60544 images
 474: 1.343893, 1.278067 avg loss, 0.000101 rate, 6.326850 seconds, 60672 images
